ticker,metric_name,period_end,form,value
NVDA,revenue,2024-01-28,10-K,60922000000
NVDA,gross_profit,2024-01-28,10-K,44301000000
NVDA,net_income,2024-01-28,10-K,29760000000
MSFT,revenue,2024-06-30,10-K,245122000000
MSFT,net_income,2024-06-30,10-K,88136000000
TSLA,revenue,2023-12-31,10-K,97690000000
TSLA,net_income,2023-12-31,10-K,14974000000
