ticker,name,sector,exchange,cik
NVDA,NVIDIA Corporation,AI & Semiconductors,NASDAQ,0001045810
AMD,Advanced Micro Devices,AI & Semiconductors,NASDAQ,0000002488
MSFT,Microsoft Corporation,Cloud & Infrastructure,NASDAQ,0000789019
JPM,JPMorgan Chase,Traditional Finance,NYSE,0000019617
TSLA,Tesla,EV & Energy,NASDAQ,0001318605
